episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
16500,0.2,72000,74532.0,15264.011943359375,97158,0.15,6,82130.0,26,268,65,17,16,57,20,25,108
16600,0.2,195000,77337.0,15728.48123046875,97733,0.1,8,85870.0,23,278,73,10,11,55,14,20,114
16700,0.2,175750,70454.5,15183.562255859375,98316,0.1,7,77720.0,13,285,72,12,13,67,17,15,102
16800,0.2,6500,69866.5,15275.870869140625,98911,0.12,3,75850.0,31,272,68,6,22,57,19,26,125
16900,0.2,79000,81227.0,15150.08373046875,99499,0.11,3,86850.0,21,278,72,10,15,52,21,27,113
17000,0.2,51000,81831.5,15195.2544140625,100000,0.03,5,87940.0,28,279,68,20,13,52,12,19,125
17100,0.2,169250,74482.5,15428.61541015625,100000,0.0,9,82090.0,10,299,72,15,17,52,15,27,78
17200,0.2,163000,83761.5,15107.14158203125,100000,0.03,3,88750.0,9,323,68,19,16,58,19,10,77
17300,0.2,168000,88478.5,15789.505439453125,100000,0.09,5,93770.0,11,307,60,23,15,57,14,18,99
17400,0.2,89500,91807.5,15243.2244140625,100000,0.0,3,95330.0,11,318,70,13,13,61,13,24,82
17500,0.2,26500,81657.0,15430.453408203124,100000,0.14,4,87300.0,14,324,67,15,19,67,21,17,56
17600,0.2,0,92803.0,15547.879599609376,100000,0.02,3,97260.0,8,366,69,10,11,64,10,14,46
17700,0.2,66750,87324.5,15615.90767578125,100000,0.07,5,93000.0,8,318,68,19,16,67,18,14,64
17800,0.2,49750,90867.5,15474.312294921874,100000,0.0,2,94510.0,12,334,64,11,9,72,13,27,64
17900,0.2,158750,83977.5,15627.5105859375,100000,0.12,8,90450.0,7,321,71,15,14,63,21,21,57
18000,0.2,73750,79791.5,15430.91919921875,100000,0.07,4,84280.0,8,307,69,8,18,63,22,34,70
18100,0.2,108000,80612.5,15356.404697265625,100000,0.04,7,87420.0,6,311,66,16,17,67,13,19,68
18200,0.2,166500,84480.0,15787.317900390624,100000,0.0,2,88270.0,13,305,73,20,15,68,11,18,85
18300,0.2,10000,86535.0,15770.142431640625,100000,0.0,6,92820.0,16,318,59,14,19,68,15,16,71
18400,0.2,48000,77009.5,15978.40189453125,100000,0.02,7,83250.0,6,302,56,22,16,67,10,15,93
18500,0.2,64000,79125.0,15965.410810546875,100000,0.04,7,85830.0,19,250,63,26,17,66,12,11,135
18600,0.2,74000,82449.0,16427.3205859375,100000,0.08,3,86890.0,10,273,63,15,11,59,19,16,135
18700,0.2,143000,86776.5,16034.5566796875,100000,0.28,3,91890.0,14,252,69,14,26,57,17,19,135
18800,0.2,53500,91882.5,16229.7894921875,100000,0.0,5,97320.0,12,307,67,10,14,54,15,14,101
18900,0.2,38750,95035.0,16138.563427734374,100000,0.09,1,97980.0,17,300,67,16,13,71,9,15,108
19000,0.2,161750,73456.5,16165.24736328125,100000,0.05,7,81660.0,13,285,55,10,16,73,21,13,106
19100,0.2,70000,83931.5,16102.5050390625,100000,0.01,5,88810.0,11,287,69,20,11,76,18,10,98
19200,0.2,4500,90181.5,15757.200830078125,100000,0.08,4,94580.0,7,311,60,16,11,58,17,21,96
19300,0.2,179250,92118.0,15856.740380859375,100000,0.1,2,96540.0,10,299,71,18,13,61,15,17,99
19400,0.2,88000,77606.5,15959.14369140625,100000,0.07,7,85140.0,16,283,66,23,8,68,15,19,98
19500,0.2,139750,90684.0,15857.767353515625,100000,0.09,1,94420.0,13,334,62,9,11,67,13,14,89
19600,0.2,-79000,82369.0,15845.049033203126,100000,0.07,5,88290.0,12,293,70,16,13,74,19,11,86
19700,0.2,-60500,73124.5,15709.490625,100000,0.02,11,82370.0,11,283,58,14,16,64,20,12,100
19800,0.2,160000,96762.5,15383.886845703126,100000,0.09,4,101030.0,11,310,72,5,17,77,9,7,92
19900,0.2,72250,98481.5,15404.594794921875,100000,0.11,1,101160.0,14,301,60,14,15,76,18,18,94
20000,0.2,123000,85656.5,15683.348564453125,100000,0.05,4,91050.0,10,319,66,15,19,67,12,18,73
20100,0.2,93000,88126.5,15675.91005859375,100000,0.07,4,93180.0,9,322,69,20,17,57,18,9,76
20200,0.2,31750,91191.0,15473.604638671875,100000,0.05,4,95760.0,8,308,69,9,13,60,17,20,92
20300,0.2,1500,92831.5,15508.443974609376,100000,0.06,3,97180.0,9,338,62,11,14,54,12,21,80
20400,0.2,161000,90822.5,15536.939658203126,100000,0.08,5,96270.0,12,306,64,17,16,64,15,15,87
20500,0.2,174250,86505.5,15980.835771484375,100000,0.04,3,90880.0,11,317,62,12,17,48,18,21,98
20600,0.2,114000,87666.0,15764.378173828125,100000,0.06,5,93990.0,13,280,56,15,23,46,12,9,139
20700,0.2,48000,73637.5,15845.734052734375,100000,0.05,10,82570.0,11,256,57,16,13,53,17,16,144
20800,0.2,53500,86646.0,15965.396962890625,100000,0.09,5,92580.0,10,294,69,15,14,48,15,17,116
20900,0.2,167500,86277.0,15738.87279296875,100000,0.07,5,91550.0,10,293,61,20,19,54,17,14,105
21000,0.2,134000,92624.5,15698.690986328125,100000,0.06,7,98720.0,3,327,65,17,12,50,14,12,87
21100,0.2,56000,91955.0,15870.00982421875,100000,0.05,2,94950.0,10,302,71,19,10,65,11,18,99
21200,0.2,48500,87842.5,15795.6007421875,100000,0.0,6,93630.0,12,299,54,14,14,49,15,14,123
21300,0.2,58500,78900.0,15914.43591796875,100000,0.05,7,86350.0,15,298,51,17,13,50,19,17,115
21400,0.2,37500,93172.5,15710.7941015625,100000,0.05,6,98860.0,13,261,57,16,24,43,16,19,144
21500,0.2,153500,101448.0,16385.17904296875,100000,0.02,4,105440.0,6,322,49,20,15,42,14,20,105
21600,0.2,80000,82380.0,16135.200537109375,100000,0.09,6,88910.0,12,329,58,14,14,49,20,16,87
21700,0.2,11500,97982.5,15824.005234375,100000,0.0,2,100420.0,5,326,67,14,22,56,15,7,87
21800,0.2,88000,90111.5,15552.1869140625,100000,0.09,2,94030.0,6,330,52,22,19,47,19,18,91
21900,0.2,102500,94969.5,15880.5130859375,100000,0.09,6,100650.0,8,329,61,13,16,56,19,15,74
22000,0.2,135000,91254.5,15716.950478515624,100000,0.1,3,96200.0,7,345,51,18,13,45,9,21,87
22100,0.2,-67000,82380.0,15776.170078125,100000,0.0,7,89360.0,11,341,51,9,11,58,13,20,80
