episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size,average_loan_duration,bankruptcy_count,average_ending_money,invalid_action_count,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
6000,0.9873354444444444,47750,26820.0,12326.460966796874,34715,0.0,16,37660.0,7,421,20,26,24,26,21,17,19
6100,0.9871243333333334,-68000,35180.0,11643.327890625,35295,0.0,10,42350.0,7,413,21,21,21,16,32,28,28
6200,0.9869132222222222,25000,23777.5,11731.40345703125,35873,0.0,18,34500.0,5,421,18,27,22,20,27,21,22
6300,0.9867021111111111,-51000,17622.5,11710.0203125,36438,0.0,23,30790.0,11,400,20,18,29,29,27,22,20
6400,0.986491,33250,33397.5,12030.515458984375,37020,0.0,11,41240.0,14,412,32,28,27,19,19,19,26
6500,0.9862798888888888,154750,27655.0,11843.275205078126,37608,0.0,12,36470.0,11,428,25,25,21,25,17,20,27
6600,0.9860687777777778,38500,21815.0,12072.412265625,38177,0.0,21,34410.0,4,414,21,29,25,15,19,24,22
6700,0.9858576666666666,500,20535.0,11894.596728515626,38747,0.0,17,32370.0,9,414,29,27,13,25,17,21,24
6800,0.9856465555555556,118500,20282.5,11748.015673828126,39323,0.0,17,31130.0,10,414,25,19,28,20,26,21,23
6900,0.9854354444444444,28250,28277.5,11829.711884765626,39891,0.0,13,37660.0,12,403,23,22,15,21,28,31,25
7000,0.9852243333333334,41000,26702.5,11585.510107421875,40472,0.0,19,36880.0,8,412,29,25,24,23,27,18,23
7100,0.9850132222222222,49000,26377.5,11491.250625,41036,0.0,16,36900.0,11,402,21,15,29,22,20,21,34
7200,0.9848021111111112,11750,28475.0,11540.953295898438,41613,0.0,15,37800.0,6,409,18,23,19,32,29,26,21
7300,0.984591,42000,28627.5,11367.472109375,42192,0.0,15,37980.0,9,416,22,20,17,23,26,22,33
7400,0.9843798888888889,30000,27587.5,11509.144521484375,42770,0.0,16,37960.0,8,412,28,29,25,25,17,17,25
7500,0.9841687777777778,40500,32375.0,11424.494038085937,43355,0.0,9,39060.0,13,416,29,31,17,23,16,24,29
7600,0.9839576666666666,42750,28507.5,11825.6045703125,43921,0.0,15,38720.0,6,406,21,23,21,30,22,19,24
